,Date,Open,High,Low,Close,Adj Close,Volume
0,2003-10-21,0.416250,0.417857,0.406250,0.413929,0.351342,176461600
1,2003-10-22,0.409643,0.414286,0.405000,0.406429,0.344976,161599200
2,2003-10-23,0.405893,0.413393,0.403393,0.410536,0.348462,165211200
3,2003-10-24,0.402857,0.408036,0.396964,0.403571,0.342550,219856000
4,2003-10-27,0.406250,0.408750,0.401607,0.403571,0.342550,162013600
5,2003-10-28,0.402857,0.424464,0.400000,0.423571,0.359526,251714400
6,2003-10-29,0.419821,0.426786,0.416786,0.423036,0.359071,267080800
7,2003-10-30,0.428393,0.428571,0.408393,0.412321,0.349977,260556800
8,2003-10-31,0.416071,0.416964,0.406786,0.408750,0.346946,218153600
9,2003-11-03,0.407679,0.416071,0.406786,0.413393,0.350887,302842400
10,2003-11-04,0.411964,0.412500,0.403393,0.409107,0.347249,249233600
11,2003-11-05,0.407500,0.413036,0.401250,0.411250,0.349068,322470400
12,2003-11-06,0.409107,0.413393,0.404464,0.412857,0.350432,397073600
13,2003-11-07,0.414107,0.415000,0.400893,0.401786,0.341035,210145600
14,2003-11-10,0.400893,0.404464,0.390000,0.391071,0.331940,234276000
15,2003-11-11,0.391071,0.393214,0.383571,0.384643,0.326484,215073600
16,2003-11-12,0.383571,0.405714,0.383571,0.398750,0.338458,300003200
17,2003-11-13,0.394107,0.402857,0.391429,0.400357,0.339822,212772000
18,2003-11-14,0.401429,0.403750,0.380000,0.383214,0.325271,237048000
19,2003-11-17,0.381250,0.381607,0.374107,0.377321,0.320269,228256000
20,2003-11-18,0.378750,0.381071,0.363393,0.364464,0.309356,267192800
21,2003-11-19,0.367143,0.368750,0.361786,0.364643,0.309508,344584800
22,2003-11-20,0.358929,0.376429,0.358929,0.363929,0.308902,239590400
23,2003-11-21,0.363214,0.367500,0.354464,0.362143,0.307386,241836000
24,2003-11-24,0.366071,0.379821,0.365179,0.377679,0.320573,381824800
25,2003-11-25,0.379107,0.379464,0.368036,0.369286,0.313449,268654400
26,2003-11-26,0.373036,0.377679,0.361607,0.370000,0.314055,245128800
27,2003-11-28,0.371071,0.376250,0.366429,0.373393,0.316935,76098400
28,2003-12-01,0.375714,0.390179,0.375000,0.387679,0.329061,361536000
29,2003-12-02,0.385714,0.391071,0.382321,0.384643,0.326484,205296000
30,2003-12-03,0.384643,0.390000,0.374286,0.375536,0.318754,191296000
31,2003-12-04,0.373929,0.378036,0.370893,0.377679,0.320573,177940000
32,2003-12-05,0.373214,0.377679,0.370179,0.372321,0.316025,186177600
33,2003-12-08,0.371071,0.376429,0.364464,0.375893,0.319057,148237600
34,2003-12-09,0.378036,0.379464,0.364286,0.365179,0.309963,135144800
35,2003-12-10,0.365179,0.368036,0.356429,0.363929,0.308902,271336800
36,2003-12-11,0.361607,0.381071,0.360893,0.378750,0.321482,183136800
37,2003-12-12,0.380714,0.380714,0.369643,0.373036,0.316631,192673600
38,2003-12-15,0.383750,0.383750,0.358393,0.360179,0.305719,388908800
39,2003-12-16,0.360536,0.365893,0.357321,0.359286,0.304961,373956800
40,2003-12-17,0.358571,0.359464,0.353393,0.355000,0.301323,274260000
41,2003-12-18,0.355357,0.360357,0.355357,0.357857,0.303748,330915200
42,2003-12-19,0.360536,0.364643,0.350357,0.351786,0.298595,453560800
43,2003-12-22,0.350893,0.355179,0.343750,0.354464,0.300868,377064800
44,2003-12-23,0.355714,0.356250,0.350000,0.353750,0.300262,308498400
45,2003-12-24,0.352143,0.367679,0.350893,0.364464,0.309356,177475200
46,2003-12-26,0.363393,0.373393,0.363214,0.371071,0.314964,103695200
47,2003-12-29,0.373393,0.377857,0.372500,0.377679,0.320573,233458400
48,2003-12-30,0.378214,0.383929,0.377679,0.380000,0.322543,204853600
49,2003-12-31,0.381250,0.384464,0.378214,0.381607,0.323907,174451200
50,2004-01-02,0.384821,0.388393,0.378214,0.380000,0.322543,144642400
51,2004-01-05,0.382500,0.399821,0.382500,0.395893,0.336033,395018400
52,2004-01-06,0.397321,0.400357,0.387679,0.394464,0.334820,509348000
53,2004-01-07,0.394643,0.407679,0.391607,0.403393,0.342398,586874400
54,2004-01-08,0.407857,0.423750,0.404464,0.417143,0.354069,460303200
55,2004-01-09,0.414821,0.430893,0.406964,0.410714,0.348613,427459200
56,2004-01-12,0.415179,0.428571,0.412500,0.423750,0.359677,487547200
57,2004-01-13,0.441071,0.443571,0.426071,0.430714,0.365589,679016800
58,2004-01-14,0.435714,0.438214,0.424643,0.432143,0.366802,620043200
59,2004-01-15,0.409107,0.417857,0.401786,0.408036,0.346340,1018208800
60,2004-01-16,0.408750,0.411429,0.403750,0.405714,0.344369,372820000
61,2004-01-20,0.404821,0.407143,0.397321,0.405893,0.344521,315946400
62,2004-01-21,0.405357,0.410179,0.400536,0.403750,0.342702,226660000
63,2004-01-22,0.402857,0.407679,0.396071,0.396071,0.336184,205004800
64,2004-01-23,0.400357,0.406071,0.397321,0.402857,0.341944,227169600
65,2004-01-26,0.401071,0.411786,0.400536,0.410893,0.348765,271269600
66,2004-01-27,0.411429,0.415179,0.407143,0.411964,0.349674,307070400
67,2004-01-28,0.407857,0.417500,0.400179,0.402143,0.341338,275402400
68,2004-01-29,0.404107,0.407143,0.396250,0.405000,0.343763,212699200
69,2004-01-30,0.404464,0.408393,0.400357,0.402857,0.341944,185298400
70,2004-02-02,0.401071,0.407321,0.394286,0.398571,0.338306,287431200
71,2004-02-03,0.398214,0.400000,0.392857,0.397500,0.337397,180812800
72,2004-02-04,0.392857,0.394464,0.387500,0.389107,0.330273,305552800
73,2004-02-05,0.389643,0.409107,0.389464,0.400357,0.339822,352844800
74,2004-02-06,0.400893,0.408750,0.400000,0.405536,0.344218,193340000
75,2004-02-09,0.403929,0.408214,0.401786,0.404821,0.343611,188260800
76,2004-02-10,0.403929,0.412857,0.400714,0.410357,0.348310,255343200
77,2004-02-11,0.412321,0.426250,0.411607,0.425000,0.360739,348544000
78,2004-02-12,0.421607,0.428393,0.421429,0.423750,0.359677,183988000
79,2004-02-13,0.425893,0.430357,0.407679,0.410714,0.348613,315980000
80,2004-02-17,0.412500,0.419464,0.412500,0.413571,0.351038,170956800
81,2004-02-18,0.413929,0.418571,0.411607,0.415357,0.352554,141635200
82,2004-02-19,0.416607,0.422143,0.400179,0.401250,0.340580,323080800
83,2004-02-20,0.401786,0.401964,0.396607,0.400000,0.339519,277603200
84,2004-02-23,0.398929,0.401071,0.390893,0.396250,0.336336,194079200
85,2004-02-24,0.395357,0.406071,0.392857,0.399286,0.338913,259056000
86,2004-02-25,0.397857,0.408929,0.396607,0.407321,0.345733,276276000
87,2004-02-26,0.408571,0.413929,0.407143,0.411429,0.349220,198408000
88,2004-02-27,0.410000,0.428929,0.409821,0.427143,0.362557,468837600
89,2004-03-01,0.430357,0.433929,0.426250,0.428929,0.364073,321680800
90,2004-03-02,0.428571,0.430357,0.424464,0.425179,0.360890,256687200
91,2004-03-03,0.421429,0.431964,0.421429,0.427143,0.362557,225131200
92,2004-03-04,0.427321,0.450357,0.426964,0.449286,0.381353,660223200
93,2004-03-05,0.445536,0.490893,0.444643,0.477500,0.405300,1540599200
94,2004-03-08,0.475357,0.478393,0.460714,0.464286,0.394084,522872000
95,2004-03-09,0.462500,0.486250,0.459821,0.483929,0.410757,618363200
96,2004-03-10,0.482857,0.502500,0.481071,0.494286,0.419548,1006964000
97,2004-03-11,0.486964,0.500714,0.483750,0.484821,0.411514,595851200
98,2004-03-12,0.487857,0.496071,0.485179,0.492143,0.417729,329224000
99,2004-03-15,0.482679,0.488393,0.468929,0.472321,0.400904,481717600
100,2004-03-16,0.474107,0.475179,0.453393,0.461071,0.391355,605432800
101,2004-03-17,0.463571,0.471071,0.460357,0.467679,0.396964,411432000
102,2004-03-18,0.463214,0.465357,0.456964,0.458393,0.389082,321081600
103,2004-03-19,0.456429,0.481071,0.456071,0.461786,0.391962,408576000
104,2004-03-22,0.453036,0.467321,0.450893,0.461786,0.391962,419031200
105,2004-03-23,0.462143,0.464286,0.450357,0.451607,0.383322,385515200
106,2004-03-24,0.451250,0.459821,0.451250,0.455357,0.386505,428215200
107,2004-03-25,0.466786,0.480536,0.462321,0.479821,0.407270,566445600
108,2004-03-26,0.482143,0.488571,0.480536,0.482857,0.409847,419893600
109,2004-03-29,0.488750,0.499821,0.485714,0.498393,0.423034,350728000
110,2004-03-30,0.495357,0.499107,0.488214,0.498571,0.423185,359676800
111,2004-03-31,0.498571,0.499643,0.481250,0.482857,0.409847,390773600
112,2004-04-01,0.480179,0.486964,0.475357,0.484107,0.410908,318332000
113,2004-04-02,0.495536,0.498750,0.486250,0.491071,0.416819,274478400
114,2004-04-05,0.490714,0.506607,0.490000,0.505714,0.429248,385672000
115,2004-04-06,0.494821,0.502679,0.489821,0.496964,0.421821,257992000
116,2004-04-07,0.493036,0.494643,0.480714,0.487679,0.413940,255119200
117,2004-04-08,0.497857,0.500000,0.485714,0.491607,0.417274,240917600
118,2004-04-12,0.491071,0.501786,0.490893,0.500714,0.425004,230540800
119,2004-04-13,0.499643,0.500536,0.479286,0.480893,0.408180,436396800
120,2004-04-14,0.477500,0.483393,0.469821,0.475714,0.403784,639732800
121,2004-04-15,0.514643,0.528214,0.502857,0.523214,0.444102,1761446400
122,2004-04-16,0.520536,0.523393,0.508929,0.521071,0.442283,402931200
123,2004-04-19,0.502143,0.513393,0.496964,0.506250,0.429703,712353600
124,2004-04-20,0.503750,0.507321,0.492143,0.495179,0.420306,354519200
125,2004-04-21,0.492857,0.502143,0.488750,0.495179,0.420306,325875200
126,2004-04-22,0.492143,0.503214,0.484107,0.496071,0.421063,344584800
127,2004-04-23,0.494643,0.500000,0.483036,0.494643,0.419851,315828800
128,2004-04-26,0.492500,0.493571,0.482143,0.484464,0.411211,231128800
129,2004-04-27,0.486429,0.490000,0.476607,0.481071,0.408331,283864000
130,2004-04-28,0.478929,0.482321,0.470357,0.472321,0.400904,231168000
131,2004-04-29,0.472321,0.482143,0.463929,0.478036,0.405755,460790400
132,2004-04-30,0.476964,0.481429,0.455179,0.460357,0.390749,466502400
133,2004-05-03,0.464286,0.470179,0.459643,0.465536,0.395145,297634400
134,2004-05-04,0.463750,0.474107,0.455357,0.466786,0.396206,279983200
135,2004-05-05,0.467857,0.477679,0.463571,0.475893,0.403936,238106400
136,2004-05-06,0.471429,0.477679,0.462500,0.474643,0.402875,263558400
137,2004-05-07,0.474107,0.492321,0.474107,0.476250,0.404239,419036800
138,2004-05-10,0.469107,0.475000,0.463214,0.469286,0.398328,249978400
139,2004-05-11,0.471429,0.485536,0.471429,0.484643,0.411363,305172000
140,2004-05-12,0.478393,0.488214,0.468571,0.487500,0.413788,245420000
141,2004-05-13,0.483929,0.495000,0.480357,0.485536,0.412121,229852000
142,2004-05-14,0.486607,0.487857,0.472321,0.483214,0.410150,257801600
143,2004-05-17,0.476786,0.483214,0.470714,0.475714,0.403784,300445600
144,2004-05-18,0.481607,0.487321,0.478571,0.483214,0.410150,206063200
145,2004-05-19,0.489286,0.491071,0.471786,0.472679,0.401208,375592000
146,2004-05-20,0.475536,0.482143,0.472679,0.476964,0.404845,196296800
147,2004-05-21,0.480357,0.485714,0.477321,0.484107,0.410908,179894400
