,Date,Open,High,Low,Close,Adj Close,Volume
0,2003-02-25,1.792269,1.792269,1.765182,1.765182,1.242082,190496
1,2003-02-26,1.765182,1.770599,1.763376,1.766085,1.242717,238120
2,2003-02-27,1.767891,1.782337,1.767891,1.768793,1.244622,75312
3,2003-02-28,1.771502,1.780531,1.764279,1.780531,1.252882,228152
4,2003-03-03,1.792269,1.799492,1.778725,1.784143,1.255424,439691
5,2003-03-04,1.787754,1.802201,1.778725,1.778725,1.251611,272454
6,2003-03-05,1.787754,1.792269,1.752541,1.756153,1.235728,562628
7,2003-03-06,1.750735,1.750735,1.644192,1.666765,1.172830,1580452
8,2003-03-07,1.663153,1.693852,1.663153,1.683920,1.184901,543800
9,2003-03-10,1.683920,1.700173,1.677600,1.677600,1.180454,349981
10,2003-03-11,1.680309,1.697464,1.678503,1.691144,1.189984,962448
11,2003-03-12,1.692046,1.718231,1.671280,1.679406,1.181725,1197245
12,2003-03-13,1.682114,1.702881,1.674891,1.697464,1.194431,264701
13,2003-03-14,1.706493,1.736289,1.701978,1.733580,1.219844,237012
14,2003-03-17,1.730871,1.753444,1.705590,1.753444,1.233822,299034
15,2003-03-18,1.772405,1.791366,1.772405,1.786852,1.257330,143980
16,2003-03-19,1.786852,1.786852,1.764279,1.771502,1.246529,581456
17,2003-03-20,1.787754,1.803104,1.769696,1.783240,1.254788,487315
18,2003-03-21,1.792269,1.852764,1.778725,1.850055,1.301803,238120
19,2003-03-24,1.841026,1.841026,1.803104,1.803104,1.268766,242550
20,2003-03-25,1.813939,1.813939,1.799492,1.802201,1.268130,134012
21,2003-03-26,1.793172,1.824774,1.793172,1.810327,1.273849,189388
22,2003-03-27,1.814842,1.820259,1.810327,1.818453,1.279566,148410
23,2003-03-28,1.823871,1.823871,1.806716,1.807618,1.271942,64237
24,2003-03-31,1.813036,1.813939,1.796784,1.796784,1.264318,268023
25,2003-04-01,1.801298,1.810327,1.787754,1.796784,1.264318,363271
26,2003-04-02,1.810327,1.837414,1.807618,1.836511,1.292273,433046
27,2003-04-03,1.830191,1.830191,1.801298,1.801298,1.267495,240335
28,2003-04-04,1.810327,1.840123,1.810327,1.835609,1.291638,95248
29,2003-04-07,1.816647,1.856375,1.816647,1.850055,1.301803,268023
30,2003-04-08,1.852764,1.854570,1.844638,1.844638,1.297991,110753
31,2003-04-09,1.850958,1.863599,1.837414,1.846443,1.299261,379884
32,2003-04-10,1.847346,1.859084,1.837414,1.856375,1.306250,215969
33,2003-04-11,1.850958,1.900618,1.850958,1.864502,1.311969,124044
34,2003-04-14,1.873531,1.873531,1.862696,1.872628,1.317686,98571
35,2003-04-15,1.859084,1.909647,1.859084,1.894297,1.332934,190496
36,2003-04-16,1.899715,1.906938,1.880754,1.886171,1.327216,1319074
37,2003-04-17,1.878045,1.904229,1.878045,1.893395,1.332299,553767
38,2003-04-21,1.898812,1.923190,1.898812,1.918676,1.350089,331153
