Category,"Dec. 29, 2018 (3 Months Ended)","Dec. 30, 2017 (3 Months Ended)"
"Cash and cash equivalents, beginning balances",25913.0,20289.0
Net income,19965.0,20065.0
Depreciation and amortization,3395.0,2745.0
Share-based compensation expense,1559.0,1296.0
Deferred income tax expense/(benefit),53.0,-33737.0
Other,-54.0,-11.0
"Accounts receivable, net",5130.0,-5570.0
Inventories,-1076.0,434.0
Vendor non-trade receivables,6905.0,-9660.0
Other current and non-current assets,-886.0,-197.0
Accounts payable,-8501.0,12602.0
Deferred revenue,-370.0,569.0
Other current and non-current liabilities,570.0,39757.0
Cash generated by operating activities,26690.0,28293.0
Purchases of marketable securities,-7077.0,-41272.0
Proceeds from maturities of marketable securities,7203.0,14048.0
Proceeds from sales of marketable securities,9723.0,16801.0
"Payments for acquisition of property, plant and equipment",-3355.0,-2810.0
"Payments made in connection with business acquisitions, net",-167.0,-173.0
Purchases of non-marketable securities,-427.0,-141.0
Other,-56.0,-43.0
Cash generated by/(used in) investing activities,5844.0,-13590.0
Payments for taxes related to net share settlement of equity awards,-1318.0,-1038.0
Payments for dividends and dividend equivalents,-3568.0,-3339.0
Repurchases of common stock,-8796.0,-10095.0
"Proceeds from issuance of term debt, net",0.0,6969.0
"Change in commercial paper, net",6.0,2.0
Cash used in financing activities,-13676.0,-7501.0
Increase/(Decrease) in cash and cash equivalents,18858.0,7202.0
"Cash and cash equivalents, ending balances",44771.0,27491.0
"Cash paid for income taxes, net",4916.0,3551.0
Cash paid for interest,836.0,623.0
