Category,"Sep. 24, 2022 (12 Months Ended)","Sep. 25, 2021 (12 Months Ended)","Sep. 26, 2020 (12 Months Ended)"
"Cash, cash equivalents and restricted cash, beginning balances",35929.0,39789.0,50224.0
Net income,99803.0,94680.0,57411.0
Depreciation and amortization,11104.0,11284.0,11056.0
Share-based compensation expense,9038.0,7906.0,6829.0
Deferred income tax expense/(benefit),895.0,-4774.0,-215.0
Other,111.0,-147.0,-97.0
"Accounts receivable, net",-1823.0,-10125.0,6917.0
Inventories,1484.0,-2642.0,-127.0
Vendor non-trade receivables,-7520.0,-3903.0,1553.0
Other current and non-current assets,-6499.0,-8042.0,-9588.0
Accounts payable,9448.0,12326.0,-4062.0
Deferred revenue,478.0,1676.0,2081.0
Other current and non-current liabilities,5632.0,5799.0,8916.0
Cash generated by operating activities,122151.0,104038.0,80674.0
Purchases of marketable securities,-76923.0,-109558.0,-114938.0
Proceeds from maturities of marketable securities,29917.0,59023.0,69918.0
Proceeds from sales of marketable securities,37446.0,47460.0,50473.0
"Payments for acquisition of property, plant and equipment",-10708.0,-11085.0,-7309.0
"Payments made in connection with business acquisitions, net",-306.0,-33.0,-1524.0
Other,-1780.0,-352.0,-909.0
Cash used in investing activities,-22354.0,-14545.0,-4289.0
Payments for taxes related to net share settlement of equity awards,-6223.0,-6556.0,-3634.0
Payments for dividends and dividend equivalents,-14841.0,-14467.0,-14081.0
Repurchases of common stock,-89402.0,-85971.0,-72358.0
"Proceeds from issuance of term debt, net",5465.0,20393.0,16091.0
Repayments of term debt,-9543.0,-8750.0,-12629.0
"Proceeds from/(Repayments of) commercial paper, net",3955.0,1022.0,-963.0
Other,-160.0,976.0,754.0
Cash used in financing activities,-110749.0,-93353.0,-86820.0
"Decrease in cash, cash equivalents and restricted cash",-10952.0,-3860.0,-10435.0
"Cash, cash equivalents and restricted cash, ending balances",24977.0,35929.0,39789.0
"Cash paid for income taxes, net",19573.0,25385.0,9501.0
Cash paid for interest,2865.0,2687.0,3002.0
