Category,Total (3 Months Ended),Common stock and additional paid-in capital (3 Months Ended),Retained earnings (3 Months Ended),Accumulated other comprehensive income/(loss) (3 Months Ended)
Cumulative effect of changes in accounting principles,,,0.0,0.0
"Beginning balances at Sep. 30, 2017",134047.0,35867.0,98330.0,-150.0
"Shares withheld related to net share settlement of equity awards, net",,-738.0,-393.0,
Share-based compensation,,1318.0,,
Net income,20065.0,,20065.0,
Dividends and dividend equivalents declared,,,-3300.0,
Common stock repurchased,,,-10109.0,
Other comprehensive income/(loss),-691.0,,,-691.0
"Ending balances at Dec. 30, 2017",140199.0,36447.0,104593.0,-841.0
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.63,,,
Cumulative effect of changes in accounting principles,,,2501.0,89.0
"Beginning balances at Sep. 29, 2018",107147.0,40201.0,70400.0,-3454.0
"Shares withheld related to net share settlement of equity awards, net",,-822.0,-594.0,
Share-based compensation,,1591.0,,
Net income,19965.0,,19965.0,
Dividends and dividend equivalents declared,,,-3526.0,
Common stock repurchased,-8236.0,,-8236.0,
Other comprehensive income/(loss),-223.0,,,-223.0
"Ending balances at Dec. 29, 2018",117892.0,40970.0,80510.0,-3588.0
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.73,,,
