Category,Total (12 Months Ended),Common stock and additional paid-in capital (12 Months Ended),Retained earnings (12 Months Ended),Accumulated other comprehensive income/(loss) (12 Months Ended)
"Beginning balances at Sep. 24, 2016",128249.0,31251.0,96364.0,634.0
Common stock issued,,555.0,,
Common stock withheld related to net share settlement of equity awards,,-1468.0,-581.0,
Share-based compensation,,4909.0,,
"Tax benefit from equity awards, including transfer pricing adjustments",620.0,620.0,,
Net income,48351.0,,48351.0,
Dividends and dividend equivalents declared,,,-12803.0,
Common stock repurchased,,,-33001.0,
Other comprehensive income/(loss),-784.0,,,-784.0
"Ending balances at Sep. 30, 2017",134047.0,35867.0,98330.0,-150.0
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),2.4,,,
Common stock issued,,669.0,,
Common stock withheld related to net share settlement of equity awards,,-1778.0,-948.0,
Share-based compensation,,5443.0,,
"Tax benefit from equity awards, including transfer pricing adjustments",,0.0,,
Net income,59531.0,,59531.0,
Dividends and dividend equivalents declared,,,-13735.0,
Common stock repurchased,,,-73056.0,
Other comprehensive income/(loss),-3026.0,,,-3026.0
"Ending balances at Sep. 29, 2018",107147.0,40201.0,70400.0,-3454.0
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),2.72,,,
Common stock issued,,781.0,,
Common stock withheld related to net share settlement of equity awards,,-2002.0,-1029.0,
Share-based compensation,,6194.0,,
"Tax benefit from equity awards, including transfer pricing adjustments",,0.0,,
Net income,55256.0,,55256.0,
Dividends and dividend equivalents declared,,,-14129.0,
Common stock repurchased,-67100.0,,-67101.0,
Other comprehensive income/(loss),2781.0,,,2781.0
"Ending balances at Sep. 28, 2019",90488.0,45174.0,45898.0,-584.0
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),3.0,,,
