Category,Total (12 Months Ended),Common stock and additional paid-in capital (12 Months Ended),Retained earnings (12 Months Ended),"Retained earnings 
Cumulative Effect, Period of Adoption, Adjustment (12 Months Ended)",Accumulated other comprehensive income/(loss) (12 Months Ended),"Accumulated other comprehensive income/(loss) 
Cumulative Effect, Period of Adoption, Adjustment (12 Months Ended)"
"Beginning balances at Sep. 30, 2017",134047.0,35867.0,98330.0,278.0,-150.0,-278.0
Common stock issued,,669.0,,,,
Common stock withheld related to net share settlement of equity awards,,-1778.0,-948.0,,,
Share-based compensation,,5443.0,,,,
Net income,59531.0,,59531.0,,,
Dividends and dividend equivalents declared,,,-13735.0,,,
Common stock repurchased,,,-73056.0,,,
Other comprehensive income/(loss),-3026.0,,,,-3026.0,
"Ending balances at Sep. 29, 2018",107147.0,40201.0,70400.0,2501.0,-3454.0,89.0
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.68,,,,,
Common stock issued,,781.0,,,,
Common stock withheld related to net share settlement of equity awards,,-2002.0,-1029.0,,,
Share-based compensation,,6194.0,,,,
Net income,55256.0,,55256.0,,,
Dividends and dividend equivalents declared,,,-14129.0,,,
Common stock repurchased,,,-67101.0,,,
Other comprehensive income/(loss),2781.0,,,,2781.0,
"Ending balances at Sep. 28, 2019",90488.0,45174.0,45898.0,-136.0,-584.0,136.0
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.75,,,,,
Common stock issued,,880.0,,,,
Common stock withheld related to net share settlement of equity awards,,-2250.0,-1604.0,,,
Share-based compensation,,6975.0,,,,
Net income,57411.0,,57411.0,,,
Dividends and dividend equivalents declared,,,-14087.0,,,
Common stock repurchased,-72500.0,,-72516.0,,,
Other comprehensive income/(loss),42.0,,,,42.0,
"Ending balances at Sep. 26, 2020",65339.0,50779.0,14966.0,,-406.0,
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.795,,,,,
