Category,Total (3 Months Ended),Common stock and additional paid-in capital (3 Months Ended),Retained earnings (3 Months Ended),"Retained earnings 
Cumulative effect of change in accounting principle (3 Months Ended)",Accumulated other comprehensive income/(loss) (3 Months Ended),"Accumulated other comprehensive income/(loss) 
Cumulative effect of change in accounting principle (3 Months Ended)"
"Beginning balances at Sep. 28, 2019",90488.0,45174.0,45898.0,-136.0,-584.0,136.0
Common stock issued,,2.0,,,,
Common stock withheld related to net share settlement of equity awards,,-951.0,-536.0,,,
Share-based compensation,,1747.0,,,,
Net income,22236.0,,22236.0,,,
Dividends and dividend equivalents declared,,,-3485.0,,,
Common stock repurchased,,,-20000.0,,,
Other comprehensive income/(loss),30.0,,,,30.0,
"Ending balances at Dec. 28, 2019",89531.0,45972.0,43977.0,,-418.0,
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.1925,,,,,
"Beginning balances at Sep. 26, 2020",65339.0,50779.0,14966.0,0.0,-406.0,0.0
Common stock issued,,0.0,,,,
Common stock withheld related to net share settlement of equity awards,,-1101.0,-1873.0,,,
Share-based compensation,,2066.0,,,,
Net income,28755.0,,28755.0,,,
Dividends and dividend equivalents declared,,,-3547.0,,,
Common stock repurchased,-24000.0,,-24000.0,,,
Other comprehensive income/(loss),585.0,,,,585.0,
"Ending balances at Dec. 26, 2020",66224.0,51744.0,14301.0,,179.0,
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.205,,,,,
