Category,Total (3 Months Ended),Common stock and additional paid-in capital (3 Months Ended),Retained earnings (3 Months Ended),"Retained earnings 
Cumulative effect of change in accounting principle (3 Months Ended)",Accumulated other comprehensive income/(loss) (3 Months Ended),"Accumulated other comprehensive income/(loss) 
Cumulative effect of change in accounting principle (3 Months Ended)"
"Beginning balances at Sep. 28, 2019",90488.0,45174.0,45898.0,-136.0,-584.0,136.0
Common stock issued,,430.0,,,,
Common stock withheld related to net share settlement of equity awards,,-1052.0,-632.0,,,
Share-based compensation,,3480.0,,,,
Net income,33485.0,,33485.0,,,
Dividends and dividend equivalents declared,,,-6917.0,,,
Common stock repurchased,,,-38516.0,,,
Other comprehensive income/(loss),-2341.0,,,,-2341.0,
"Ending balances at Mar. 28, 2020",78425.0,48032.0,33182.0,,-2789.0,
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.385,,,,,
"Beginning balances at Dec. 28, 2019",89531.0,45972.0,43977.0,0.0,-418.0,0.0
Common stock issued,,428.0,,,,
Common stock withheld related to net share settlement of equity awards,,-101.0,-96.0,,,
Share-based compensation,,1733.0,,,,
Net income,11249.0,,11249.0,,,
Dividends and dividend equivalents declared,,,-3432.0,,,
Common stock repurchased,,,-18516.0,,,
Other comprehensive income/(loss),-2371.0,,,,-2371.0,
"Ending balances at Mar. 28, 2020",78425.0,48032.0,33182.0,,-2789.0,
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.1925,,,,,
"Beginning balances at Sep. 26, 2020",65339.0,50779.0,14966.0,0.0,-406.0,0.0
Common stock issued,,561.0,,,,
Common stock withheld related to net share settlement of equity awards,,-1236.0,-2047.0,,,
Share-based compensation,,4099.0,,,,
Net income,52385.0,,52385.0,,,
Dividends and dividend equivalents declared,,,-7042.0,,,
Common stock repurchased,-43000.0,,-43001.0,,,
Other comprehensive income/(loss),120.0,,,,120.0,
"Ending balances at Mar. 27, 2021",69178.0,54203.0,15261.0,,-286.0,
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.41,,,,,
"Beginning balances at Dec. 26, 2020",66224.0,51744.0,14301.0,0.0,179.0,0.0
Common stock issued,,561.0,,,,
Common stock withheld related to net share settlement of equity awards,,-135.0,-174.0,,,
Share-based compensation,,2033.0,,,,
Net income,23630.0,,23630.0,,,
Dividends and dividend equivalents declared,,,-3495.0,,,
Common stock repurchased,,,-19001.0,,,
Other comprehensive income/(loss),-465.0,,,,-465.0,
"Ending balances at Mar. 27, 2021",69178.0,54203.0,15261.0,,-286.0,
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.205,,,,,
