Category,Total (12 Months Ended),Common stock and additional paid-in capital (12 Months Ended),Retained earnings (12 Months Ended),"Retained earnings 
Cumulative effects of changes in accounting principles (12 Months Ended)",Accumulated other comprehensive income/(loss) (12 Months Ended),"Accumulated other comprehensive income/(loss) 
Cumulative effects of changes in accounting principles (12 Months Ended)"
"Beginning balances at Sep. 29, 2018",107147.0,40201.0,70400.0,2501.0,-3454.0,89.0
Common stock issued,,781.0,,,,
Common stock withheld related to net share settlement of equity awards,,-2002.0,-1029.0,,,
Share-based compensation,,6194.0,,,,
Net income,55256.0,,55256.0,,,
Dividends and dividend equivalents declared,,,-14129.0,,,
Common stock repurchased,,,-67101.0,,,
Other comprehensive income/(loss),2781.0,,,,2781.0,
"Ending balances at Sep. 28, 2019",90488.0,45174.0,45898.0,-136.0,-584.0,136.0
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.75,,,,,
Common stock issued,,880.0,,,,
Common stock withheld related to net share settlement of equity awards,,-2250.0,-1604.0,,,
Share-based compensation,,6975.0,,,,
Net income,57411.0,,57411.0,,,
Dividends and dividend equivalents declared,,,-14087.0,,,
Common stock repurchased,,,-72516.0,,,
Other comprehensive income/(loss),42.0,,,,42.0,
"Ending balances at Sep. 26, 2020",65339.0,50779.0,14966.0,0.0,-406.0,0.0
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.795,,,,,
Common stock issued,,1105.0,,,,
Common stock withheld related to net share settlement of equity awards,,-2627.0,-4151.0,,,
Share-based compensation,,8108.0,,,,
Net income,94680.0,,94680.0,,,
Dividends and dividend equivalents declared,,,-14431.0,,,
Common stock repurchased,-85500.0,,-85502.0,,,
Other comprehensive income/(loss),569.0,,,,569.0,
"Ending balances at Sep. 25, 2021",63090.0,57365.0,5562.0,,163.0,
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.85,,,,,
