Category,"Dec. 26, 2020 (3 Months Ended)","Dec. 28, 2019 (3 Months Ended)"
Net sales,111439.0,91819.0
Cost of sales,67111.0,56602.0
Gross margin,44328.0,35217.0
Research and development,5163.0,4451.0
"Selling, general and administrative",5631.0,5197.0
Total operating expenses,10794.0,9648.0
Operating income,33534.0,25569.0
"Other income/(expense), net",45.0,349.0
Income before provision for income taxes,33579.0,25918.0
Provision for income taxes,4824.0,3682.0
Net income,28755.0,22236.0
Basic (in dollars per share),1.7,1.26
Diluted (in dollars per share),1.68,1.25
Basic (in shares),16935119.0,17660160.0
Diluted (in shares),17113688.0,17818417.0
Products,,
Net sales,95678.0,79104.0
Cost of sales,62130.0,52075.0
Services,,
Net sales,15761.0,12715.0
Cost of sales,4981.0,4527.0
