Category,"Sep. 25, 2021 (12 Months Ended)","Sep. 26, 2020 (12 Months Ended)","Sep. 28, 2019 (12 Months Ended)"
Net sales,365817.0,274515.0,260174.0
Cost of sales,212981.0,169559.0,161782.0
Gross margin,152836.0,104956.0,98392.0
Research and development,21914.0,18752.0,16217.0
"Selling, general and administrative",21973.0,19916.0,18245.0
Total operating expenses,43887.0,38668.0,34462.0
Operating income,108949.0,66288.0,63930.0
"Other income/(expense), net",258.0,803.0,1807.0
Income before provision for income taxes,109207.0,67091.0,65737.0
Provision for income taxes,14527.0,9680.0,10481.0
Net income,94680.0,57411.0,55256.0
Basic (in dollars per share),5.67,3.31,2.99
Diluted (in dollars per share),5.61,3.28,2.97
Basic (in shares),16701272.0,17352119.0,18471336.0
Diluted (in shares),16864919.0,17528214.0,18595651.0
Products,,,
Net sales,297392.0,220747.0,213883.0
Cost of sales,192266.0,151286.0,144996.0
Services,,,
Net sales,68425.0,53768.0,46291.0
Cost of sales,20715.0,18273.0,16786.0
