Category,"Mar. 26, 2022 (3 Months Ended)","Mar. 27, 2021 (3 Months Ended)","Mar. 26, 2022 (6 Months Ended)","Mar. 27, 2021 (6 Months Ended)"
Net sales,97278.0,89584.0,221223.0,201023.0
Cost of sales,54719.0,51505.0,124421.0,118616.0
Gross margin,42559.0,38079.0,96802.0,82407.0
Research and development,6387.0,5262.0,12693.0,10425.0
"Selling, general and administrative",6193.0,5314.0,12642.0,10945.0
Total operating expenses,12580.0,10576.0,25335.0,21370.0
Operating income,29979.0,27503.0,71467.0,61037.0
"Other income/(expense), net",160.0,508.0,-87.0,553.0
Income before provision for income taxes,30139.0,28011.0,71380.0,61590.0
Provision for income taxes,5129.0,4381.0,11740.0,9205.0
Net income,25010.0,23630.0,59640.0,52385.0
Basic (in dollars per share),1.54,1.41,3.65,3.11
Diluted (in dollars per share),1.52,1.4,3.62,3.08
Basic (in shares),16278802.0,16753476.0,16335263.0,16844298.0
Diluted (in shares),16403316.0,16929157.0,16461304.0,17021423.0
Products,,,,
Net sales,77457.0,72683.0,181886.0,168361.0
Cost of sales,49290.0,46447.0,113599.0,108577.0
Services,,,,
Net sales,19821.0,16901.0,39337.0,32662.0
Cost of sales,5429.0,5058.0,10822.0,10039.0
