Category,"Jul. 01, 2017 (3 Months Ended)","Jun. 25, 2016 (3 Months Ended)","Jul. 01, 2017 (6 Months Ended)","Jun. 25, 2016 (6 Months Ended)"
Net revenue,1222.0,1027.0,2206.0,1859.0
Cost of sales,818.0,708.0,1471.0,1271.0
Gross margin,404.0,319.0,735.0,588.0
Research and development,279.0,243.0,545.0,485.0
"Marketing, general and administrative",125.0,117.0,246.0,222.0
"Restructuring and other special charges, net",0.0,-7.0,0.0,-10.0
Licensing gain,-25.0,-26.0,-52.0,-33.0
Operating income (loss),25.0,-8.0,-4.0,-76.0
Interest expense,-32.0,-41.0,-64.0,-81.0
"Other income (expense), net",-3.0,150.0,-8.0,150.0
Income (loss) before equity loss and income taxes,-10.0,101.0,-76.0,-7.0
Provision for income taxes,3.0,29.0,8.0,30.0
Equity loss in investee,-3.0,-3.0,-5.0,-3.0
Net income (loss),-16.0,69.0,-89.0,-40.0
Basic (in usd per share),-0.02,0.09,-0.09,-0.05
Diluted (in usd per share),-0.02,0.08,-0.09,-0.05
Basic (in shares),945.0,794.0,942.0,794.0
Diluted (in shares),945.0,821.0,942.0,794.0
